Length,breadth_s,breadth_l,Resonance Frequency,Voltage,Deflection
4.1,3,4,75,70.352,4.0643
4.2,3,4,75,53.37,2.4095
4.3,3,4,75,41.606,4.2053
4.4,3,4,74.75,17.638,1.098
4.5,3,4,74.75,40.205,2.3338
4.6,3,4,74.5,51.569,2.9882
4.7,3,4,74.5,66.617,3.8546
4.8,3,4,74.5,82.997,4.8298
4.9,3,4,74.5,84.844,4.9308
5,3,4,74.5,70.562,4.0879
5.1,3,4,74.5,53.66,3.1093
5.2,3,4,74.5,43.963,2.556
5.3,3,4,74.5,9.322,0.5821
5.4,3,4,74,36.913,2.1485
5.5,3,4,74,42.519,2.4722
5.6,3,4,74,53.104,3.0713
5.7,3,4,74,67.958,3.949
5.8,3,4,74,83.042,4.8295
5.9,3,4,74,88.658,5.1365
6,3,4,74,80.714,4.6926
6.1,3,4,74,66.649,3.8722
6.2,3,4,74,54.715,3.1733
6.3,3,4,74,44.277,2.5722
6.4,3,4,74,38.57,2.2398
6.5,3,4,73.75,40.657,2.2587
6.6,3,4,73.5,38.595,2.24
6.7,3,4,73.5,45.219,2.6274
6.8,3,4,73.5,53.583,3.1032
6.9,3,4,73.5,63.118,3.665
7,3,4,73.5,76.759,4.4429
7.1,3,4,73.5,87.219,5.0483
7.2,3,4,73.5,90.916,5.2722
7.3,3,4,73.5,86.133,4.9913
7.4,3,4,73.5,74.588,4.3184
7.5,3,4,73.5,64.689,3.7406
7.6,3,4,73.5,54.959,3.1755
7.7,3,4,73.5,48.439,2.7947
7.8,3,4,73.5,42.81,2.473
7.9,3,4,73.5,38.196,2.2048
8,3,4,73.25,39.435,2.278
8.1,3,4,73,36.564,2.1095
8.2,3,4,73,40.879,2.3534
8.3,3,4,73,45.948,2.6424
8.4,3,4,73,50.961,2.935
8.5,3,4,73,57.847,3.3244
8.6,3,4,73,64.387,3.7016
8.7,3,4,73,73.785,4.2365
8.8,3,4,73,82.221,4.7111
8.9,3,4,73,86.795,4.9691
9,3,4,73,92.648,5.3105
9.1,3,4,73,93.952,5.3807
9.2,3,4,73,91.243,5.2306
9.3,3,4,73,87.078,4.9727
9.4,3,4,73,80.99,4.6235
9.5,3,4,73,74.979,4.2629
9.6,3,4,73,67.441,3.8425
9.7,3,4,73,62.746,3.5699
9.8,3,4,73,58.463,3.3171
9.9,3,4,73,53.69,3.0497
10,3,4,73,50.983,2.8923
10.1,3,4,73,47.324,2.6775
10.2,3,4,73,44.566,2.523
10.3,3,4,73,43.336,2.4481
10.4,3,4,73,41.095,2.3178
10.5,3,4,73,38.874,2.1938
10.6,3,4,73,37.495,2.1098
10.7,3,4,72.75,39.014,2.21
10.8,3,4,72.5,36.008,2.0241
10.9,3,4,72.5,36.776,2.0626
11,3,4,72.5,37.588,2.1
11.1,3,4,72.5,38.82,2.1728
11.2,3,4,72.5,39.529,2.2067
11.3,3,4,72.5,40.927,2.2824
11.4,3,4,72.5,42.237,2.3529
11.5,3,4,72.5,42.999,2.3921
11.6,3,4,72.5,43.466,2.4134
11.7,3,4,72.5,44.363,2.4596
